alpha,alpha_idx,lam,rho,MSE_mean,MSE_std,label_err_mean,label_err_std,label_err_mean_noise,label_err_std_noise,train_data_mean,train_reg_mean,train_total_mean
1.005,0,0.1,1.0,0.0398021459113806,0.0006193889908882,9.537008143961428e-05,8.456540690077184e-06,0.0281225078582763,0.0004264802476841,0.1345105400085449,0.0031534234642982,0.1376639634728431
1.005,0,0.001,1.0,10.14512175321579,0.1352135285693638,0.009247782421112,0.0002035190982636,0.0371387256622314,0.0006143111432822,0.0842070095062255,0.0101524473667144,0.09435945687294
1.005,0,0.0002,1.0,25.20002400875092,0.3493573607780411,0.0178172051429748,0.0003435218529862,0.0459320529937744,0.0006940031996965,0.0764191703796386,0.0050427558422088,0.0814619262218475
1.005,0,0.0005,1.0,15.844911515712738,0.311049737151491,0.0129597548484802,0.0003623255179452,0.0407578308105468,0.0006742160104065,0.0797791854858398,0.0079261614322662,0.087705346918106
1.005,0,0.0001,1.0,32.02438831329346,0.6565785805039679,0.0208933261871337,0.0005542586006295,0.0487049482345581,0.0008584249818883,0.0755152755737304,0.0032037521600723,0.0787190277338028
1.1471428571428572,0,0.1,1.0,0.043180500390008,0.0005758720082308,9.468857608735562e-05,1.445628228926337e-05,0.0279692255020141,0.0006260683618316,0.1540098358154296,0.0035543941974639,0.1575642300128936
1.1471428571428572,0,0.001,1.0,9.628489553928375,0.1067183046976705,0.008723119020462,0.000183924763807,0.0369156267166137,0.0007144255122022,0.1024985370635986,0.0096375094413757,0.1121360465049743
1.1471428571428572,0,0.0002,1.0,21.52095782756805,0.3839830875394527,0.0155412546157836,0.0003785461555342,0.0436232912063598,0.0011314507288481,0.0964954807281494,0.0043064956903457,0.1008019764184951
1.1471428571428572,0,0.0005,1.0,14.483134329319,0.2650384513003296,0.0117685238361358,0.0002355788606241,0.0399088132858276,0.0008630727839551,0.0983232864379882,0.0072467813014984,0.1055700677394867
1.1471428571428572,0,0.0001,1.0,25.716091752052307,0.4517468022485653,0.0174457795143127,0.0004337022353488,0.0449321119308471,0.0008673404350435,0.0962523868560791,0.0025726149916648,0.0988250018477439
1.2892857142857144,0,0.1,1.0,0.0461159460246562,0.000612336060374,9.707618243992328e-05,1.2801601211678804e-05,0.0281040739059448,0.0005712833401857,0.1727713996887207,0.0038673851013183,0.176638784790039
1.2892857142857144,0,0.001,1.0,9.105819284915924,0.1696577263438674,0.0080734648704528,0.0001917185229372,0.0361183677673339,0.0006404633115028,0.1215962158203125,0.0091158351898193,0.1307120510101318
1.2892857142857144,0,0.0002,1.0,18.425094962120056,0.2893613972794562,0.0135779150009155,0.0003035523551449,0.0412749652862548,0.0008790170094,0.1161345382690429,0.0036872287988662,0.1198217670679092
1.2892857142857144,0,0.0005,1.0,13.1593616604805,0.2326203979619101,0.0105525594234466,0.0003619102923332,0.0383292495727539,0.0010988837438691,0.1182464416503906,0.0065844950675964,0.124830936717987
1.2892857142857144,0,0.0001,1.0,21.289530396461487,0.4474321004831814,0.014972497177124,0.0003511018833683,0.0427873668670654,0.0009155109222247,0.1159200874328613,0.0021299929976463,0.1180500804305076
1.4314285714285715,0,0.1,1.0,0.049524190602824,0.0010092274438573,9.484858252108096e-05,1.084676954633e-05,0.0279627416610717,0.0004061556336711,0.1918537544250488,0.0042501409292221,0.1961038953542709
